ID;Year;Bibtex-entry;Title;Abstract;Author1;Author2;Author3;Author4;Author5;Author6;Keyword1;Keyword2;Keyword3;Keyword4;Keyword5;Keyword6;Keyword7;Keyword8
11;2013;barbuti2014computational;A Computational Formal Model of the Invasiveness of Eastern Species in European Water Frog Populations;European water frog populations are mainly composed by two species: Pelophylax lessonae (pool frog) and Pelophylax esculentus (edible frog). These populations are called L-E complexes. Edible frogs are a hybrid form between P. lessonae and Pelophylax ridibundus (eastern lake frog) and they reproduce in a particular way, called hybridogenesis. These frog populations have been studied in the contexts of evolution and speciation. In order to have stability of L-E complexes (namely self-maintainance of the population structure) some conditions are necessary. We present a computational formal model of European water frog population based on a variant of P systems in which evolution rules are applied in a probabilistic maximally parallel manner. Probabilities of application of rules will be computed on the basis of parameters to be associated with each rule. By means of our model we show how the stabilization of L-E complexes can be obtained. In particular, we show how the introduction of translocated eastern lake frogs in such complexes can lead to the collapse of the populations. The study of conditions for population stability and of possible threats to endangered species is of particular importance for the maintenance of biodiversity, which is an aspect of sustainable development.;Roberto Barbuti;Pasquale Bove;Andrea Maggiolo-Schettini;Paolo Milazzo;Giovanni Pardini;;;;;;;;;
12;2013;philippou2014process;Process Ordering in a Process Calculus for Spatially-Explicit Ecological Models;In this paper we extend palps, a process calculus proposed for the spatially-explicit individual-based modeling of ecological systems, with the notion of a policy. A policy is an entity for specifying orderings between the different activities within a system. It is defined externally to a palps model as a partial order which prescribes the precedence order between the activities of the individuals of which the model is comprised. The motivation for introducing policies is twofold: one the one hand, policies can help to reduce the state-space of a model, on the other hand, they are useful for exploring the behavior of an ecosystem under different assumptions on the ordering of events within the system. To take account of policies, we refine the semantics of palps via a transition relation which prunes away executions that do not respect the defined policy. Furthermore, we propose a translation of palps into the probabilistic model checker prism. We illustrate our framework by applying prism on palps models with policies for conducting simulation and reachability analysis.;Anna Philippou;Mauricio Toro;;;;;;;;;;;;
13;2013;penna2014dispas;DISPAS: An Agent-Based Tool for the Management of Fishing Effort;We introduce DISPAS, Demersal fIsh Stock Probabilistic Agent-based Simulator, with the aim of helping to investigate and understand sustainability in the exploitation of fishery resources. The simulator has capabilities for exploring different fishing scenarios, focusing on the case study of the common sole (Solea solea) stock in the Northern Adriatic Sea (Mediterranean Sea). In order to assess and predict the availability of the fish stock under different fishing efforts, the simulator allows the user to specify fishing mortality rates (F) on a monthly basis. We present some preliminary results simulating different scenarios.;Pierluigi Penna;Nicola Paoletti;Giuseppe Scarcella;Luca Tesei;Mauro Marini;Emanuela Merelli;Ecosystem science;Simulation of biological systems;Agent-based methodologies;Fish stock assessment;Common sole;Adriatic Sea;;
14;2014;nozza2015latent;A Latent Representation Model for Sentiment Analysis in Heterogeneous Social Networks;The growing availability of social media platforms, in particular microblogs such as Twitter, opened new way to people for expressing their opinions. Sentiment Analysis aims at inferring the polarity of these opinions, but most of the existing approaches are based only on text, disregarding information that comes from the relationships among users and posts. In this paper we consider microblogs as heterogeneous networks and we use an approach based on latent representation of nodes to infer, given a specific topic, the sentiment polarity of posts and users at the same time. The experimental investigation show that our approach, by taking into account both content and relationship information, outperforms supervised classifiers based only on textual content.;Debora Nozza;Daniele Maccagnola;Vincent Guigue;Enza Messina;Patrick Gallinari;;;;;;;;;
15;2014;gabrielli2015use;Use of Mobile Phone Data to Estimate Visitors Mobility Flows;Big Data originating from the digital breadcrumbs of human activities, sensed as by-product of the technologies that we use for our daily activities, allows us to observe the individual and collective behavior of people at an unprecedented detail. Many dimensions of our social life have big data "proxies", such as the mobile calls data for mobility. In this paper we investigate to what extent data coming from mobile operators could be a support in producing reliable and timely estimates of intra-city mobility flows. The idea is to define an estimation method based on calling data to characterize the mobility habits of visitors at the level of a single municipality.;Lorenzo Gabrielli;Barbara Furletti;Fosca Giannotti;Mirco Nanni;Salvatore Rinzivillo;;Big data;Urban population;Inter-city mobility;Datamining;;;;
16;2014;mukala2015abstract;An Abstract State Machine (ASM) Representation of Learning Process in FLOSS Communities;Free/Libre Open Source Software (FLOSS) communities as collaborative environments enable the occurrence of learning between participants in these groups. With the increasing interest research on understanding the mechanisms and processes through which learning occurs in FLOSS, there is an imperative to describe these processes. One successful way of doing this is through specification methods. In this paper, we describe the adoption of Abstract States Machines (ASMs) as a specification methodology for the description of learning processes in FLOSS. The goal of this endeavor is to represent the many possible steps and/or activities FLOSS participants go through during interactions that can be categorized as learning processes. Through ASMs, we express learning phases as states while activities that take place before moving from one state to another are expressed as transitions.;Patrick Mukala;Antonio Cerone;Franco Turini;;;;Process modeling;Abstract State Machines (ASMs);FLOSS communities;Learning processes;;;;
17;2014;sameen2015mathematical;A Mathematical Model for Assessing KRAS Mutation Effect on Monoclonal Antibody Treatment of Colorectal Cancer;The most challenging task in colorectal cancer research nowadays is to understand the development of acquired resistance to anti-EGFR drugs. The key reason for this problem is the KRAS mutations produced after the treatment with monoclonal antibodies (mAb). KRAS screening tests done before the start of the treatment are not very sensitive to identify minute quantity of the mutated cells, which can produce resistance to the therapy after the beginning of the treatment. Here we present a mathematical model for the analysis of KRAS mutations behavior in colorectal cancer with respect to mAb treatments. To evaluate the drug performance we have developed equations for two types of tumors cells, i.e. KRAS mutated and KRAS wildtype. Both tumor cell populations were treated with a combination of mAb and chemotherapy drugs. It was observed that even the minimal initial concentration of KRAS mutation before the treatment has the ability to make the tumor refractory to the treatment. Patient's immune responses are specifically taken into considerations and it is found that, in case of KRAS mutations, the immune strength does not affect medication efficacy. Finally, Cetuximab (mAb) and Irinotecan (chemotherapy) drugs are analyzed as firstline treatment of colorectal cancer with few KRAS mutated cells. Results show that this combined treatment is only effective for patients with high immune strengths and it should not be recommended as first-line therapy for patients with moderate immune strengths or weak immune systems because of a potential risk of relapse, with KRAS mutant cells acquired resistance involved with them.;Sheema Sameen;Roberto Barbuti;Paolo Milazzo;Antonio Cerone;;;Colorectal cancer;Mathematical model;Monoclonal antibody;resistance;KRAS mutation;;;
18;2014;nieto2015sea;Sea-Scale Agent-Based Simulator of Solea solea in the Adriatic Sea;DISPAS is an agent-based simulator for fish stock assessment developed as a decision making support for the sustainable management of fishery. In this work we enlarge the underlying model of DISPAS allowing it to model and simulate a multi-scale scenario. We retain the currently available spatial scale, able to represent a limited average region of the sea, and we introduce a new spatial macro-scale, able to represent the whole sea. At the macro-scale a single agent represents an area of five square nautical miles and manages groups of fish in different age classes. The interactions among the macro agents permit the exchange of individuals of each class among neighbor areas. A case study regarding the Solea solea (Linnaeus, 1758, Soleidae) stock of the northern Adriatic Sea is used to show the intended approach, taking into account the available data, coming from fishery independent scientific surveys.;Cesar Augusto Nieto Coria;Luca Tesei;Giuseppe Scarcella;Tommaso Russo;Emanuela Merelli;;Modeling and simulation;Agent-based modeling;Ecosystem modeling;Common sole;Adriatic Sea;Multi-scale modeling;;
19;2014;cerone2015research;Research Challenges in Modelling Ecosystems;Ecosystems and their biodiversity have to be protected and preserved as sources of services and goods. The human population controls and modifies ecosystems to improve its health conditions and welfare. The consequences of human activities should be carefully monitored and ecosystems should be managed to protect all of the species and preserve their functioning. The development of strategies for ecosystem management benefits from the use of computational techniques to model the dynamics of species that interact with their abiotic and biotic environment. Life scientists and computer scientists need to work together to define and analyse ecosystem models. However, there is a multifaceted gap between the approaches used in life science and those used in computer science. Such gap is both cultural and technical, and results in a number of challenges. In this paper we identify these challenges and provide technical and cultural proposals for solving them.;Antonio Cerone;Marco Scotti;;;;;;;;;;;;
20;2014;guidotti2015retrieving;Retrieving Points of Interest from Human Systematic Movements;Human mobility analysis is emerging as a more and more fundamental task to deeply understand human behavior. In the last decade these kind of studies have become feasible thanks to the massive increase in availability of mobility data. A crucial point, for many mobility applications and analysis, is to extract interesting locations for people. In this paper, we propose a novel methodology to retrieve efficiently significant places of interest from movement data. Using car drivers' systematic movements we mine everyday interesting locations, that is, places around which people life gravitates. The outcomes show the empirical evidence that these places capture nearly the whole mobility even though generated only from systematic movements abstractions.;Riccardo Guidotti;Anna Monreale;Salvatore Rinzivillo;Dino Pedreschi;Fosca Giannotti;;;;;;;;;
21;2015;grossi2015clustering;Clustering Formulation Using Constraint Optimization;The problem of clustering a set of data is a textbook machine learning problem, but at the same time, at heart, a typical optimization problem. Given an objective function, such as minimizing the intracluster distances or maximizing the inter-cluster distances, the task is to find an assignment of data points to clusters that achieves this objective. In this paper, we present a constraint programming model for a centroid based clustering and one for a density based clustering. In particular, as a key contribution, we show how the expressivity introduced by the formulation of the problem by constraint programming makes the standard problem easy to be extended with other constraints that permit to generate interesting variants of the problem. We show this important aspect in two different ways: first, we show how the formulation of the density-based clustering by constraint programming makes it very similar to the label propagation problem and then, we propose a variant of the standard label propagation approach.;Valerio Grossi;Anna Monreale;Mirco Nanni;Dino Pedreschi;Franco Turini;;;;;;;;;
22;2015;guidotti2015towards;Towards a Boosted Route Planner Using Individual Mobility Models;Route planners generally return routes that minimize either the distance covered or the time traveled. However, these routes are rarely considered by people who move in a certain area systematically. Indeed, due to their expertise, they very often prefer different solutions. In this paper we provide an analytic model to study the deviations of the systematic movements from the paths proposed by a route planner. As proxy of human mobility we use real GPS traces and we analyze a set of users which act in Pisa and Florence province. By using appropriate mobility data mining techniques, we extract the GPS systematic movements and we transform them into sequences of road segments. Finally, we calculate the shortest and fastest path from the origin to the destination of each systematic movement and we compare them with the routes mapped on the road network. Our results show that about 30–35% of the systematic movements follow the shortest paths, while the others follow routes which are on average 7 km longer. In addition, we divided the area object of study in cells and we analyzed the deviations in the flows of systematic movements. We found that, these deviations are not only driven by individual mobility behaviors but are a signal of an existing common sense that could be exploited by a route planner.;Riccardo Guidotti;Paolo Cintia;;;;;;;;;;;;
23;2015;van2015design;Design of a Business-to-Government Information Sharing Architecture Using Business Rules;Information sharing between businesses and government agencies is of vital importance, yet business are often reluctant to share information, e.g. as it might be misused. Taking this into account is however often overlooked in the design of software architectures. In this research we apply a design science approach to develop an software architecture that is acceptable by businesses. From a case study we derive the requirements an architecture should meet in order to contribute to increasing willingness to share information. In this paper the architecture is developed and evaluated according to the requirements. We recommend the use of different types of business rules that provide businesses with control over their data, in combination with encryption and decryption of data to provide access to parts of the data within an organization.;Sélinde van Engelenburg;Marijn Janssen;Bram Klievink;;;;Software-architecture;Information sharing;Business rules;Encryption;Decryption;Supply chain;Customs;
24;2015;cerone2015process;Process Mining as a Modelling Tool: Beyond the Domain of Business Process Management;Process mining emerged in the field of business process management (BPM) as an innovative technique to exploit the large amount of data recorded by information systems in the form of event logs. It allows to discover not only relations and structure in data but also control flow, and produces a process model, which can then be visualised as a process map. In addition to discovery, process mining supports conformance analysis, a technique to compare an a priori model with the event logs to detect deviations and inconsistencies. In this paper we go beyond the domain of BPM and illustrate how process mining and conformance analysis can be used in a number of contexts, in and across the areas of human-computer interaction and learning.;Antonio Cerone;;;;;;;;;;;;;
25;2015;shams2015integrating;On Integrating Social and Sensor Networks for Emergency Management;The 2010 earthquake in Haiti is often referred to as the turning point that changed the way social media can be used during disasters. The development of strategies, technologies and tools to enhance user collaboration around disasters has become an emergent field, and their integration with appropriate sensor networks presents itself as an effective solution to drive decision making in emergency management. In this paper, we present a review of existing disaster management systems and their underlying strategies and technologies, and identify the limitations of the tools in which they are implemented. We then propose an architecture for disaster management that integrates the mining of social networks and the use of sensor networks as two complementary technologies to overcome the limitations of the current emergency management tools.;Farshad Shams;Antonio Cerone;Rocco De Nicola;;;;;;;;;;;
26;2015;galpin2015quantitative;Quantitative Modelling of Residential Smart Grids;Generation of electricity has traditionally taken place at a small number of power stations but with advances in generating technology, small-scale generation of energy from wind and sun is now possible at individual buildings. Additionally, the integration of information technology into the generation and consumption process provides the notion of smart grid. Formal modelling of these systems allows for an understanding of their dynamic behaviour without building or interacting with actual systems. This paper reports on using a quantitative process algebra HYPE to model a residential smart grid (microgrid) for a spatially extensive suburb of houses where energy is generated by wind power at each house and where excess energy can be shared with neighbours and between neighbourhoods. Both demand and wind availability are modelled stochastically, and the goal of the modelling is to understand the behaviour of the system under different redistribution policies that use local knowledge with spatial heterogeneity in wind availability.;Vashti Galpin;;;;;;Smart grid;Microgrid;Renewable energy;Process algebra;Quantitative modelling;Stochastic hybrid;Collective adaptive system;
27;2015;barbuti2015attributed;Attributed Probabilistic P Systems and Their Application to the Modelling of Social Interactions in Primates;We propose a variant of probabilistic P Systems, Attributed Probabilistic P systems (APP systems), in which objects are annotated with attributes. We use APP systems for modelling social behaviours of some species of primates. In this context attributes can represent position of the animals in the environment, age of the animal, dominance level, aggressiveness, etc. As in standard P systems, the dynamics of the system is described by multiset rewrite rules that are applied in a maximally parallel way. Probabilities of rule application, in a maximal step, are computed according to weight functions associated to rules. As an application, we develop models to compare despotic and egalitarian behaviours on different species of primates.;Roberto Barbuti;Alessandro Bompadre;Pasquale Bove;Paolo Milazzo;Giovanni Pardini;;;;;;;;;
28;2015;cini2015probabilistic;Probabilistic Modelling and Analysis of a Fish Population;The fish stock of the common sole in the Adriatic Sea has been analysed by agent-based modelling and simulation techniques as an integration of other classical stock assessment models. In this work we start investigating also about the formal probabilistic modelling of our case study in order to extract valuable biological information from available formal verification techniques. In particular, a PRISM model for the common sole is developed and some initial results are discussed.;Chiara Cini;Luca Tesei;Giuseppe Scarcella;Cesar Augusto Nieto Coria;Emanuela Merelli;;Fish stock assessment;Common sole;Adriatic Sea;Probabilistic models;PRISM model checker;;;
29;2015;setiawan2015tool;A Tool for the Modelling and Simulation of Ecological Systems Based on Grid Systems;Grid Systems is a formalism for modelling population and ecosystem dynamics that combines features of membrane computing, such as rewrite rules and maximal parallelism, with a representation of space similar to that of Cellular Automata. Moreover, Grid Systems include features for the description of environmental events and of events that can be associated with frequencies and durations that can be either deterministic or stochastic. The combination of all of these features makes Grid Systems a comprehensive formalism for the modelling and analysis of ecosystems. This tool paper describes the implementation and the features of a simulator for Grid Systems. The simulator is equipped with a graphical user interface for defining and editing models of populations, and for simulating population dynamics and movement. The aim of this tool is to allow modellers to construct and analyse models based on a comprehensive and rigorous formalism such as Grid Systems with a friendly interface.;Suryana Setiawan;Antonio Cerone;Paolo Milazzo;;;;;;;;;;;
30;2016;atienza2016separating;Separating Topological Noise from Features Using Persistent Entropy;Topology is the branch of mathematics that studies shapes and maps among them. From the algebraic definition of topology a new set of algorithms have been derived. These algorithms are identified with "computational topology" or often pointed out as Topological Data Analysis (TDA) and are used for investigating high-dimensional data in a quantitative manner. Persistent homology appears as a fundamental tool in Topological Data Analysis. It studies the evolution of k-dimensional holes along a sequence of simplicial complexes (i.e. a filtration). The set of intervals representing birth and death times of k-dimensional holes along such sequence is called the persistence barcode. k-dimensional holes with short lifetimes are informally considered to be topological noise, and those with a long lifetime are considered to be topological feature associated to the given data (i.e. the filtration). In this paper, we derive a simple method for separating topological noise from topological features using a novel measure for comparing persistence barcodes called persistent entropy.;Nieves Atienza;Rocio Gonzalez-Diaz;Matteo Rucco;;;;Persistent homology;Persistence barcodes;Shannon entropy;Topological noise;Topological features;;;
31;2016;hajkacem2016accelerated;An Accelerated MapReduce-Based K-prototypes for Big Data;Big data are often characterized by a huge volume and a variety of attributes namely, numerical and categorical. To address this issue, this paper proposes an accelerated MapReduce-based k-prototypes method. The proposed method is based on pruning strategy to accelerate the clustering process by reducing the unnecessary distance computations between cluster centers and data points. Experiments performed on huge synthetic and real data sets show that the proposed method is scalable and improves the efficiency of the existing MapReduce-based k-prototypes method.;Mohamed Aymen Ben HajKacem;Chiheb-Eddine Ben N'cir;Nadia Essoussi;;;;K-prototypes;MapReduce;Big data;Mixed data;;;;
32;2016;cerone2016refinement;Refinement Mining: Using Data to Sift Plausible Models;Process mining techniques have been developed in the ambit of business process management to extract information from event logs consisting of activities and then produce a graphical representation of the process control flow, detect relations between components involved in the process and infer data dependencies between process activities. These process characterisations allow the analyst to discover an annotated visual representation of the conceptual model or the performance model of the process, check conformance with an a priori model to detect deviations and extend the a priori model with quantitative information such as frequencies and performance data. However, a process model yielded by process mining techniques is more similar to a representation of the process behaviour rather than an actual model of the process: it often consists of a huge number of states and interconnections between them, thus resulting in a spaghetti-like net which is hard to interpret or even read. In this paper we propose a novel technique, which we call model mining, to derive an abstract but concise and functionally structured model from event logs. Such a model is not a representation of the unfolded behaviour, but comprises, instead, a set of formal rules for generating the system behaviour. The set of rules is inferred by sifting a plausible a priori model using the event logs as a sieve until a reasonably concise model is achieved (refinement mining). We use rewriting logic as the formal framework in which to perform model mining and implement our framework using the MAUDE rewrite system. Once the final formal model is attained, it can be used, within the same rewriting logic framework, to predict future evolutions of the behaviour through simulation, to carry out further validation or to analyse properties through model checking. We illustrate our approach on a case study from the field of ecology.;Antonio Cerone;;;;;;Formal methods;Model-driven approaches;Process mining;Application to ecosystem modelling;;;;
33;2016;ellison2016towards;Towards Platform Independent Database Modelling in Enterprise Systems;Enterprise software systems are prevalent in many organisations, typically they are data-intensive and manage customer, sales, or other important data.When an enterprise system needs to be modernised or migrated (e.g. to the cloud) it is necessary to understand the structure of this data and how it is used. We have developed a tool-supported approach to model database structure, query patterns, and growth patterns. Compared to existing work, our tool offers increased system support and extensibility which is vital for use in industry. Standardisation and platform independence is ensured by producing models conforming to the Knowledge Discovery Metamodel and Software Metrics Metamodel.;Martyn Ellison;Radu Calinescu;Richard F. Paige;;;;;;;;;;;
34;2016;guidotti2016udio;Audio Ergo Sum A Personal Data Model for Musical Preferences;Nobody can state "Rock is my favorite genre" or "David Bowie is my favorite artist". We defined a Personal Listening Data Model able to capture musical preferences through indicators and patterns, and we discovered that we are all characterized by a limited set of musical preferences, but not by a unique predilection. The empowered capacity of mobile devices and their growing adoption in our everyday life is generating an enormous increment in the production of personal data such as calls, positioning, online purchases and even music listening. Musical listening is a type of data that has started receiving more attention from the scientific community as consequence of the increasing availability of rich and punctual online data sources. Starting from the listening of 30k Last.Fm users, we show how the employment of the Personal Listening Data Models can provide higher levels of self-awareness. In addition, the proposed model will enable the development of a wide range of analysis and musical services both at personal and at collective level.;Riccardo Guidotti;Giulio Rossetti;Dino Pedreschi;;;;;;;;;;;
35;2016;pardini2016high;A High-Level Model Checking Language with Compile-Time Pruning of Local Variables;Among Model Checking tools, the behaviour of a system is often formalized as a transition system with atomic propositions associated with states (Kripke structure). In current modelling languages, transitions are usually specified as updates of the system's variables to be performed when certain conditions are satisfied. However, such a lowlevel representation makes the description of complex transformations difficult, in particular in the presence of structured data. We present a high-level language with imperative semantics for modelling finite-state systems. The language features are selected with the aim of enabling the translation of models into compact transition systems, amenable to efficient verification via Model Checking. To this end, we have developed a compiler of our high-level language into the modelling language of the PRISM probabilistic model checker. One of the main characteristics of the language is that it makes a very different treatment of global and local variables. It is assumed that global variables are actually the variables that describe the state of the modelled system, whereas local variables are only used to ease the specification of the systems internal mechanisms. In this paper we describe the procedure for the pruning of local variables that is executed at compile time.;Giovanni Pardini;Paolo Milazzo;;;;;;;;;;;;
36;2016;reijsbergen2016probabilistic;Probabilistic Modelling of Station Locations in Bicycle-Sharing Systems;We present a simulation methodology for generating the locations of stations in Bicycle-Sharing Systems. We present several methods that are inspired by the literature on spatial point processes. We evaluate how the artificially generated systems compare to existing systems through a case study involving 11 cities worldwide. The method that is found to perform best is a data-driven approach in which we use a dataset of places of interest in the city to 'rate' how attractive city areas are for station placement. The presented methods use only non-proprietary data readily available via the Internet.;Daniël Reijsbergen;;;;;;;;;;;;;
37;2017;andrei2018temporal;Temporal Analytics for Software Usage Models;We address the problem of analysing how users actually interact with software. Users are heterogeneous: they adopt different usage patterns and each individual user may move between different patterns, from one interaction session to another, or even during an interaction session. For analysis, we require new techniques to model and analyse temporal data sets of logged interactions with the purpose of discovering, interpreting, and communicating meaningful patterns of usage. We define new probabilistic models whose parameters are inferred from logged time series data of user-software interactions. We formulate hypotheses about software usage together with the developers, encode them in probabilistic temporal logic, and analyse the models according to the probabilistic properties. We illustrate by application to logged data from a deployed mobile application software used by thousands of users.;Oana Andrei;Muffy Calder;;;;;;;;;;;;
